CPUOperator,Score
CoalesceExec,3.65
CollectLimitExec,3.65
ExpandExec,3.76
FileSourceScanExec,2.84
FilterExec,3.79
GenerateExec,3.65
GlobalLimitExec,3.65
LocalLimitExec,3.65
ProjectExec,3.65
RangeExec,3.65
SampleExec,3.65
SortExec,3.65
TakeOrderedAndProjectExec,3.65
HashAggregateExec,4.1
ObjectHashAggregateExec,4.1
SortAggregateExec,4.1
DataWritingCommandExec,3.65
AtomicReplaceTableAsSelectExec,3.65
AtomicCreateTableAsSelectExec,3.65
OverwriteByExpressionExecV1,3.65
AppendDataExecV1,3.65
ExecutedCommandExec,3.65
BatchScanExec,2.84
ShuffleExchangeExec,3.69
BroadcastHashJoinExec,3.72
BroadcastNestedLoopJoinExec,1.66
CartesianProductExec,3.65
ShuffledHashJoinExec,3.65
SortMergeJoinExec,5.64
WindowExec,3.65
WindowGroupLimitExec,3.65
Abs,3.65
Acos,3.65
Acosh,3.65
Add,3.65
AggregateExpression,3.65
Alias,3.65
And,3.65
ApproximatePercentile,3.65
ArrayContains,3.65
ArrayExcept,3.65
ArrayExists,3.65
ArrayIntersect,3.65
ArrayMax,3.65
ArrayMin,3.65
ArrayRemove,3.65
ArrayRepeat,3.65
ArrayTransform,3.65
ArrayUnion,3.65
ArraysOverlap,3.65
ArraysZip,3.65
Asin,3.65
Asinh,3.65
AtLeastNNonNulls,3.65
Atan,3.65
Atanh,3.65
AttributeReference,3.65
Average,3.65
BRound,3.65
BitLength,3.65
BitwiseAnd,3.65
BitwiseNot,3.65
BitwiseOr,3.65
BitwiseXor,3.65
CaseWhen,3.65
Cbrt,3.65
Ceil,3.65
CheckOverflow,3.65
Coalesce,3.65
CollectList,3.65
CollectSet,3.65
Concat,3.65
ConcatWs,3.65
Contains,3.65
Conv,3.65
Cos,3.65
Cosh,3.65
Cot,3.65
Count,3.65
CreateArray,3.65
CreateMap,3.65
CreateNamedStruct,3.65
CurrentRow$,3.65
DateAdd,3.65
DateAddInterval,3.65
DateDiff,3.65
DateFormatClass,3.65
DateSub,3.65
DayOfMonth,3.65
DayOfWeek,3.65
DayOfYear,3.65
DenseRank,3.65
Divide,3.65
DynamicPruningExpression,3.65
ElementAt,3.65
EndsWith,3.65
EqualNullSafe,3.65
EqualTo,3.65
Exp,3.65
Explode,3.65
Expm1,3.65
First,3.65
Flatten,3.65
Floor,3.65
FormatNumber,3.65
FromUTCTimestamp,3.65
FromUnixTime,3.65
GetArrayItem,3.65
GetArrayStructFields,3.65
GetJsonObject,3.65
GetMapValue,3.65
GetStructField,3.65
GetTimestamp,3.65
GreaterThan,3.65
GreaterThanOrEqual,3.65
Greatest,3.65
HiveGenericUDF,3.65
HiveSimpleUDF,3.65
Hour,3.65
Hypot,3.65
If,3.65
In,3.65
InSet,3.65
InitCap,3.65
InputFileBlockLength,3.65
InputFileBlockStart,3.65
InputFileName,3.65
IntegralDivide,3.65
IsNaN,3.65
IsNotNull,3.65
IsNull,3.65
JsonToStructs,3.65
JsonTuple,3.65
KnownFloatingPointNormalized,3.65
KnownNotNull,3.65
Lag,3.65
LambdaFunction,3.65
Last,3.65
LastDay,3.65
Lead,3.65
Least,3.65
Length,3.65
LessThan,3.65
LessThanOrEqual,3.65
Like,3.65
Literal,3.65
Log,3.65
Log10,3.65
Log1p,3.65
