CPUOperator,Score
CoalesceExec,1.4
CollectLimitExec,1.4
ExpandExec,1.4
FileSourceScanExec,1.4
FilterExec,2.3
GenerateExec,1.4
GlobalLimitExec,1.4
LocalLimitExec,1.4
ProjectExec,1.4
RangeExec,1.4
SampleExec,1.4
SortExec,4.56
SubqueryBroadcastExec,1.4
TakeOrderedAndProjectExec,1.4
UnionExec,1.4
CustomShuffleReaderExec,1.4
HashAggregateExec,1.62
ObjectHashAggregateExec,1.4
SortAggregateExec,1.4
InMemoryTableScanExec,1.4
DataWritingCommandExec,1.4
ExecutedCommandExec,1.4
BatchScanExec,1.4
BroadcastExchangeExec,1.4
ShuffleExchangeExec,1.61
BroadcastHashJoinExec,1.52
BroadcastNestedLoopJoinExec,1.4
CartesianProductExec,1.4
ShuffledHashJoinExec,1.4
SortMergeJoinExec,15.7
FlatMapCoGroupsInPandasExec,1.4
WindowExec,1.4
HiveTableScanExec,1.4
Abs,1.4
Acos,1.4
Acosh,1.4
Add,1.4
AggregateExpression,1.4
Alias,1.4
And,1.4
ApproximatePercentile,1.4
ArrayContains,1.4
ArrayExcept,1.4
ArrayExists,1.4
ArrayIntersect,1.4
ArrayMax,1.4
ArrayMin,1.4
ArrayRemove,1.4
ArrayRepeat,1.4
ArrayTransform,1.4
ArrayUnion,1.4
ArraysOverlap,1.4
ArraysZip,1.4
Asin,1.4
Asinh,1.4
AtLeastNNonNulls,1.4
Atan,1.4
Atanh,1.4
AttributeReference,1.4
Average,1.4
BRound,1.4
BitLength,1.4
BitwiseAnd,1.4
BitwiseNot,1.4
BitwiseOr,1.4
BitwiseXor,1.4
CaseWhen,1.4
Cbrt,1.4
Ceil,1.4
CheckOverflow,1.4
Coalesce,1.4
CollectList,1.4
CollectSet,1.4
Concat,1.4
ConcatWs,1.4
Contains,1.4
Cos,1.4
Cosh,1.4
Cot,1.4
Count,1.4
CreateArray,1.4
CreateMap,1.4
CreateNamedStruct,1.4
CurrentRow$,1.4
DateAdd,1.4
DateAddInterval,1.4
DateDiff,1.4
DateFormatClass,1.4
DateSub,1.4
DayOfMonth,1.4
DayOfWeek,1.4
DayOfYear,1.4
DenseRank,1.4
Divide,1.4
ElementAt,1.4
EndsWith,1.4
EqualNullSafe,1.4
EqualTo,1.4
Exp,1.4
Explode,1.4
Expm1,1.4
First,1.4
Floor,1.4
FromUTCTimestamp,1.4
FromUnixTime,1.4
GetArrayItem,1.4
GetArrayStructFields,1.4
GetJsonObject,1.4
GetMapValue,1.4
GetStructField,1.4
GetTimestamp,1.4
GreaterThan,1.4
GreaterThanOrEqual,1.4
Greatest,1.4
HiveGenericUDF,1.4
HiveSimpleUDF,1.4
Hour,1.4
Hypot,1.4
If,1.4
In,1.4
InSet,1.4
InitCap,1.4
InputFileBlockLength,1.4
InputFileBlockStart,1.4
InputFileName,1.4
IntegralDivide,1.4
IsNaN,1.4
IsNotNull,1.4
IsNull,1.4
KnownFloatingPointNormalized,1.4
KnownNotNull,1.4
Lag,1.4
LambdaFunction,1.4
Last,1.4
LastDay,1.4
Lead,1.4
Least,1.4
Length,1.4
LessThan,1.4
LessThanOrEqual,1.4
Like,1.4
Literal,1.4
Log,1.4
Log10,1.4
Log1p,1.4
Log2,1.4
Logarithm,1.4
Lower,1.4
MakeDecimal,1.4
MapConcat,1.4
MapEntries,1.4
MapFilter,1.4
MapKeys,1.4
MapValues,1.4
Max,1.4
Md5,1.4
Min,1.4
Minute,1.4
MonotonicallyIncreasingID,1.4
Month,1.4
Multiply,1.4
Murmur3Hash,1.4
NaNvl,1.4
NamedLambdaVariable,1.4
NormalizeNaNAndZero,1.4
Not,1.4
NthValue,1.4
OctetLength,1.4
Or,1.4
PercentRank,1.4
PivotFirst,1.4
Pmod,1.4
PosExplode,1.4
Pow,1.4
PreciseTimestampConversion,1.4
PromotePrecision,1.4
PythonUDF,1.4
Quarter,1.4
RLike,1.4
RaiseError,1.4
Rand,1.4
Rank,1.4
RegExpExtract,1.4
RegExpExtractAll,1.4
RegExpReplace,1.4
Remainder,1.4
ReplicateRows,1.4
Reverse,1.4
Rint,1.4
Round,1.4
RowNumber,1.4
ScalaUDF,1.4
ScalarSubquery,1.4
Second,1.4
Sequence,1.4
ShiftLeft,1.4
ShiftRight,1.4
ShiftRightUnsigned,1.4
Signum,1.4
Sin,1.4
Sinh,1.4
Size,1.4
SortArray,1.4
SortOrder,1.4
SparkPartitionID,1.4
SpecifiedWindowFrame,1.4
Sqrt,1.4
StartsWith,1.4
StddevPop,1.4
StddevSamp,1.4
StringInstr,1.4
StringLPad,1.4
StringLocate,1.4
StringRPad,1.4
StringRepeat,1.4
StringReplace,1.4
StringSplit,1.4
StringToMap,1.4
StringTrim,1.4
StringTrimLeft,1.4
StringTrimRight,1.4
Substring,1.4
SubstringIndex,1.4
Subtract,1.4
Sum,1.4
Tan,1.4
Tanh,1.4
TimeAdd,1.4
ToDegrees,1.4
ToRadians,1.4
ToUnixTimestamp,1.4
TransformKeys,1.4
TransformValues,1.4
UnaryMinus,1.4
UnaryPositive,1.4
UnboundedFollowing$,1.4
UnboundedPreceding$,1.4
UnixTimestamp,1.4
UnscaledValue,1.4
Upper,1.4
VariancePop,1.4
VarianceSamp,1.4
WeekDay,1.4
WindowExpression,1.4
WindowSpecDefinition,1.4
Year,1.4
