CPUOperator,Score
CoalesceExec,4.16
CollectLimitExec,4.16
ExpandExec,4.16
FileSourceScanExec,4.16
FilterExec,3.15
GenerateExec,4.16
GlobalLimitExec,4.16
LocalLimitExec,4.16
ProjectExec,4.16
RangeExec,4.16
SampleExec,4.16
SortExec,19.34
SubqueryBroadcastExec,4.16
TakeOrderedAndProjectExec,4.16
UnionExec,4.16
CustomShuffleReaderExec,4.16
HashAggregateExec,7.73
ObjectHashAggregateExec,4.16
SortAggregateExec,4.16
InMemoryTableScanExec,4.16
DataWritingCommandExec,4.16
AtomicReplaceTableAsSelectExec,4.16
AtomicCreateTableAsSelectExec,4.16
OverwriteByExpressionExecV1,4.16
AppendDataExecV1,4.16
ExecutedCommandExec,4.16
BatchScanExec,4.16
BroadcastExchangeExec,4.16
ShuffleExchangeExec,5.64
BroadcastHashJoinExec,6.22
BroadcastNestedLoopJoinExec,4.16
CartesianProductExec,4.16
ShuffledHashJoinExec,4.16
SortMergeJoinExec,54.53
FlatMapCoGroupsInPandasExec,4.16
WindowExec,4.16
WindowGroupLimitExec,4.16
HiveTableScanExec,4.16
Abs,4.16
Acos,4.16
Acosh,4.16
Add,4.16
AggregateExpression,4.16
Alias,4.16
And,4.16
ApproximatePercentile,4.16
ArrayContains,4.16
ArrayExcept,4.16
ArrayExists,4.16
ArrayIntersect,4.16
ArrayMax,4.16
ArrayMin,4.16
ArrayRemove,4.16
ArrayRepeat,4.16
ArrayTransform,4.16
ArrayUnion,4.16
ArraysOverlap,4.16
ArraysZip,4.16
Asin,4.16
Asinh,4.16
AtLeastNNonNulls,4.16
Atan,4.16
Atanh,4.16
AttributeReference,4.16
Average,4.16
BRound,4.16
BitLength,4.16
BitwiseAnd,4.16
BitwiseNot,4.16
BitwiseOr,4.16
BitwiseXor,4.16
CaseWhen,4.16
Cbrt,4.16
Ceil,4.16
CheckOverflow,4.16
Coalesce,4.16
CollectList,4.16
CollectSet,4.16
Concat,4.16
ConcatWs,4.16
Contains,4.16
Conv,4.16
Cos,4.16
Cosh,4.16
Cot,4.16
Count,4.16
CreateArray,4.16
CreateMap,4.16
CreateNamedStruct,4.16
CurrentRow$,4.16
DateAdd,4.16
DateAddInterval,4.16
DateDiff,4.16
DateFormatClass,4.16
DateSub,4.16
DayOfMonth,4.16
DayOfWeek,4.16
DayOfYear,4.16
DenseRank,4.16
Divide,4.16
DynamicPruningExpression,4.16
ElementAt,4.16
EndsWith,4.16
EqualNullSafe,4.16
EqualTo,4.16
Exp,4.16
Explode,4.16
Expm1,4.16
First,4.16
Flatten,4.16
Floor,4.16
FormatNumber,4.16
FromUTCTimestamp,4.16
FromUnixTime,4.16
GetArrayItem,4.16
GetArrayStructFields,4.16
GetJsonObject,4.16
GetMapValue,4.16
GetStructField,4.16
GetTimestamp,4.16
GreaterThan,4.16
GreaterThanOrEqual,4.16
Greatest,4.16
HiveGenericUDF,4.16
HiveSimpleUDF,4.16
Hour,4.16
Hypot,4.16
If,4.16
In,4.16
InSet,4.16
InitCap,4.16
InputFileBlockLength,4.16
InputFileBlockStart,4.16
InputFileName,4.16
IntegralDivide,4.16
IsNaN,4.16
IsNotNull,4.16
IsNull,4.16
JsonToStructs,4.16
JsonTuple,4.16
KnownFloatingPointNormalized,4.16
KnownNotNull,4.16
Lag,4.16
LambdaFunction,4.16
Last,4.16
LastDay,4.16
Lead,4.16
Least,4.16
Length,4.16
LessThan,4.16
