CPUOperator,Score
CoalesceExec,3.74
CollectLimitExec,3.74
ExpandExec,4.07
FileSourceScanExec,2.65
FilterExec,3.52
GenerateExec,3.74
GlobalLimitExec,3.74
LocalLimitExec,3.74
ProjectExec,3.74
RangeExec,3.74
SampleExec,3.74
SortExec,3.74
TakeOrderedAndProjectExec,3.74
HashAggregateExec,4.29
ObjectHashAggregateExec,4.29
SortAggregateExec,4.29
DataWritingCommandExec,3.74
ExecutedCommandExec,3.74
BatchScanExec,2.65
ShuffleExchangeExec,3.2
BroadcastHashJoinExec,3.4
BroadcastNestedLoopJoinExec,1.62
CartesianProductExec,3.74
ShuffledHashJoinExec,3.74
SortMergeJoinExec,5.1
WindowExec,3.74
Abs,3.74
Acos,3.74
Acosh,3.74
Add,3.74
AggregateExpression,3.74
Alias,3.74
And,3.74
ApproximatePercentile,3.74
ArrayContains,3.74
ArrayExcept,3.74
ArrayExists,3.74
ArrayIntersect,3.74
ArrayMax,3.74
ArrayMin,3.74
ArrayRemove,3.74
ArrayRepeat,3.74
ArrayTransform,3.74
ArrayUnion,3.74
ArraysOverlap,3.74
ArraysZip,3.74
Asin,3.74
Asinh,3.74
AtLeastNNonNulls,3.74
Atan,3.74
Atanh,3.74
AttributeReference,3.74
Average,3.74
BRound,3.74
BitLength,3.74
BitwiseAnd,3.74
BitwiseNot,3.74
BitwiseOr,3.74
BitwiseXor,3.74
CaseWhen,3.74
Cbrt,3.74
Ceil,3.74
CheckOverflow,3.74
Coalesce,3.74
CollectList,3.74
CollectSet,3.74
Concat,3.74
ConcatWs,3.74
Contains,3.74
Conv,3.74
Cos,3.74
Cosh,3.74
Cot,3.74
Count,3.74
CreateArray,3.74
CreateMap,3.74
CreateNamedStruct,3.74
CurrentRow$,3.74
DateAdd,3.74
DateAddInterval,3.74
DateDiff,3.74
DateFormatClass,3.74
DateSub,3.74
DayOfMonth,3.74
DayOfWeek,3.74
DayOfYear,3.74
DenseRank,3.74
Divide,3.74
DynamicPruningExpression,3.74
ElementAt,3.74
EndsWith,3.74
EqualNullSafe,3.74
EqualTo,3.74
Exp,3.74
Explode,3.74
Expm1,3.74
First,3.74
Flatten,3.74
Floor,3.74
FormatNumber,3.74
FromUTCTimestamp,3.74
FromUnixTime,3.74
GetArrayItem,3.74
GetArrayStructFields,3.74
GetJsonObject,3.74
GetMapValue,3.74
GetStructField,3.74
GetTimestamp,3.74
GreaterThan,3.74
GreaterThanOrEqual,3.74
Greatest,3.74
HiveGenericUDF,3.74
HiveSimpleUDF,3.74
Hour,3.74
Hypot,3.74
If,3.74
In,3.74
InSet,3.74
InitCap,3.74
InputFileBlockLength,3.74
InputFileBlockStart,3.74
InputFileName,3.74
IntegralDivide,3.74
IsNaN,3.74
IsNotNull,3.74
IsNull,3.74
JsonToStructs,3.74
JsonTuple,3.74
KnownFloatingPointNormalized,3.74
KnownNotNull,3.74
Lag,3.74
LambdaFunction,3.74
Last,3.74
LastDay,3.74
Lead,3.74
Least,3.74
Length,3.74
LessThan,3.74
LessThanOrEqual,3.74
Like,3.74
Literal,3.74
Log,3.74
Log10,3.74
Log1p,3.74
Log2,3.74
Logarithm,3.74
Lower,3.74
MakeDecimal,3.74
MapConcat,3.74
MapEntries,3.74
MapFilter,3.74
MapKeys,3.74
MapValues,3.74
Max,3.74
Md5,3.74
MicrosToTimestamp,3.74
MillisToTimestamp,3.74
Min,3.74
Minute,3.74
MonotonicallyIncreasingID,3.74
Month,3.74
Multiply,3.74
Murmur3Hash,3.74
NaNvl,3.74
NamedLambdaVariable,3.74
NormalizeNaNAndZero,3.74
Not,3.74
NthValue,3.74
OctetLength,3.74
ParseUrl,3.74
Or,3.74
Percentile,3.74
PercentRank,3.74
PivotFirst,3.74
Pmod,3.74
PosExplode,3.74
Pow,3.74
PreciseTimestampConversion,3.74
PromotePrecision,3.74
PythonUDF,3.74
Quarter,3.74
RLike,3.74
RaiseError,3.74
Rand,3.74
Rank,3.74
RegExpExtract,3.74
RegExpExtractAll,3.74
RegExpReplace,3.74
Remainder,3.74
ReplicateRows,3.74
Reverse,3.74
